,Date,Name,Price,Nal
0,13:54_10-11-2021,"GAZER
Дополнительная камера Gazer CF730-IN для видеорегистратора Gazer F730",1 499 грн,В наличии
1,13:54_10-11-2021,"GAZER
Универсальный монитор Gazer HR100",6 499 грн,Заканчивается
2,13:54_10-11-2021,"GAZER
Система контроля слепых зон Gazer BA500",15 999 грн,Нет в наличии
3,13:54_10-11-2021,"GAZER
Внешняя антенна GPS со встроенным динамиком Gazer ACG750 (F750w)",999 грн,В наличии
4,13:54_10-11-2021,"GAZER
Крепление к видеокамере Gazer CA132 (MITSUBISHI)",170 грн,Заканчивается
5,13:54_10-11-2021,"GAZER
Кабель питания и передачи данных с GPS антенной Gazer ACG-OBD (для F725/F730)",1 499 грн,В наличии
6,13:54_10-11-2021,"GAZER
Камера заднего вида Gazer CC207",1 550 грн,Заканчивается
7,13:54_10-11-2021,"GAZER
Камера заднего вида Gazer CC110",1 557 грн,Заканчивается
8,13:54_10-11-2021,"GAZER
Система кругового обзора универсальная Gazer CKR4400",11 599 грн,В наличии
9,13:54_10-11-2021,"GAZER
Камера заднего вида Gazer CC125",2 326 грн,В наличии
10,13:54_10-11-2021,"GAZER
Универсальная камера Gazer CC150",2 499 грн,осталось 4шт.
11,13:54_10-11-2021,"GAZER
Передняя парковочная система Gazer PA40F",2 899 грн,Нет в наличии
12,13:54_10-11-2021,"GAZER
Задняя парковочная система Gazer PA45R",3 399 грн,Нет в наличии
13,13:54_10-11-2021,"GAZER
Передняя парковочная система Gazer PA45F",3 399 грн,Нет в наличии
14,13:54_10-11-2021,"GAZER
Видеокамера заднего вида Gazer CC100",1 861 грн,В наличии
15,13:54_10-11-2021,"GAZER
Видеорегистратор Gazer F750w",9 999 грн,Нет в наличии
