,Date,Name,Price,Nal
0,26-10-2021,"Gazer 24"" HD Smart TV (TV24-HS2)",Есть в наличии,6 899 грн
1,26-10-2021,"Gazer 40"" Full HD Smart TV (TV40-FS2)",Есть в наличии,10 499 грн
2,26-10-2021,"Gazer 43"" Full HD Smart TV (TV43-FS2)",Есть в наличии,10 499 грн
3,26-10-2021,"Gazer 32"" HD Smart TV (TV32-HS2)",Есть в наличии,7 999 грн
4,26-10-2021,"Gazer 32"" Full HD Smart TV (TV32-FS2)",Есть в наличии,7 299 грн
5,26-10-2021,"Gazer 43"" 4K Smart TV (TV43-US2)",Есть в наличии,13 999 грн
6,26-10-2021,"Gazer 49"" 4K Smart TV (TV49-US2)",Наличие уточняет менедже,16 499 грн
7,26-10-2021,"Gazer 55"" 4K Smart TV (TV55-US2)",Есть в наличии,18 999 грн
8,26-10-2021,Пульт к Gazer TV RC15,Есть в наличии,599 грн
9,26-10-2021,Gazer Universal 6.95 Full touch - 178x100 CM6507-100F,Наличие уточняет менедже,10 999 грн
10,26-10-2021,"Gazer Universal Android 2DIN с антибликовым экраном 7"" HD/IPS/Antiglare CM6507-100H",Наличие уточняет менедже,12 799 грн
11,26-10-2021,Gazer Universal 6.2 - 170x96 CM6006-100D,Наличие уточняет менедже,12 000 грн
12,26-10-2021,Gazer MUW5000,Наличие уточняет менедже,5 999 грн
13,26-10-2021,Gazer MUW7000,Наличие уточняет менедже,8 999 грн
14,26-10-2021,Gazer F715,Есть в наличии,1 699 грн
15,26-10-2021,Gazer Universal 6.95 CM6507-100S,Ожидается,8 888 грн
16,26-10-2021,"Gazer Universal Android с антибликовым экраном 6.95"" 800x480, IPS/Antiglare CM5507-100",Ожидается,7 999 грн
17,26-10-2021,"Gazer Universal Android с антибликовым экраном 7"" HD/IPS/Antiglare CM5507-100H",Ожидается,8 999 грн
18,26-10-2021,"Gazer Universal Android с DVD и антибликовым экраном 6.2"" CM5006-100D",Ожидается,7 999 грн
19,26-10-2021,Gazer F118,Есть в наличии,2 199 грн
20,26-10-2021,Gazer F125,Наличие уточняет менедже,2 999 грн
21,26-10-2021,Gazer F750w,Наличие уточняет менедже,9 999 грн
22,26-10-2021,Gazer F155,Наличие уточняет менедже,5 999 грн
23,26-10-2021,Gazer F730,Ожидается,4 499 грн
24,26-10-2021,Gazer F725,Ожидается,2 999 грн
