,cur_date,Name,Price,Nal
0,20_10_2021,Штатна магнітола Gazer CM5007-8P for AUDI A3 (2003-2008),,Есть в наличии 
1,20_10_2021,Штатна магнітола Gazer CM6008-B1 for Opel Corsa E (B1) (2014-2017),,Есть в наличии 
2,20_10_2021,Штатна магнітола Gazer CM5006-NHP10 for Toyota Prius C (NHP10) (2011-2014),,Есть в наличии 
3,20_10_2021,Штатна магнітола Gazer CM6510-L33R for Nissan Teana (L33R) (2013-2016),,Есть в наличии 
4,20_10_2021,,,Есть в наличии 
5,20_10_2021,,,Есть в наличии 
6,20_10_2021,,,Есть в наличии 
7,20_10_2021,,,Есть в наличии 
8,20_10_2021,,,Есть в наличии 
9,20_10_2021,,,Есть в наличии 
10,20_10_2021,,,Есть в наличии 
11,20_10_2021,,,Есть в наличии 
12,20_10_2021,,,Есть в наличии 
13,20_10_2021,,,Есть в наличии 
14,20_10_2021,,,Есть в наличии 
15,20_10_2021,,,Есть в наличии 
16,20_10_2021,,,Есть в наличии 
17,20_10_2021,,,Есть в наличии 
18,20_10_2021,,,Есть в наличии 
19,20_10_2021,,,Есть в наличии 
20,20_10_2021,,,Есть в наличии 
21,20_10_2021,,,Есть в наличии 
22,20_10_2021,,,Есть в наличии 
23,20_10_2021,,,Есть в наличии 
24,20_10_2021,,,Есть в наличии 
25,20_10_2021,,,Есть в наличии 
26,20_10_2021,,,Есть в наличии 
27,20_10_2021,,,Есть в наличии 
28,20_10_2021,,,Есть в наличии 
29,20_10_2021,,,Есть в наличии 
30,20_10_2021,,,Есть в наличии 
31,20_10_2021,,,Есть в наличии 
32,20_10_2021,,,Есть в наличии 
33,20_10_2021,,,Есть в наличии 
34,20_10_2021,,,Есть в наличии 
35,20_10_2021,,,Есть в наличии 
36,20_10_2021,,,Есть в наличии 
37,20_10_2021,,,Есть в наличии 
38,20_10_2021,,,Есть в наличии 
39,20_10_2021,,,Есть в наличии 
40,20_10_2021,,,Есть в наличии 
41,20_10_2021,,,Есть в наличии 
42,20_10_2021,,,Есть в наличии 
